ODB Name,Step,Frame,Part Instance Name,Node Label,X,Y,Z,Section Name,Material Name,Section Point,UT-Magnitude,UT-UT1,UT-UT2
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",1,0.,0.,0.,NA,NA,"",0.,-2.00000001E-30,-20.0000005E-33
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",2,10.,0.,0.,NA,NA,"",1.75354409E-03,-499.997754E-06,-1.68074958E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",3,20.,0.,0.,NA,NA,"",999.995507E-06,-999.995507E-06,-20.0000005E-33
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",4,0.,10.,0.,NA,NA,"",0.,-2.00000001E-30,-20.0000005E-33
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",5,1.,10.,0.,NA,NA,"",50.0944479E-06,-49.9997732E-06,-3.07839036E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",6,2.,10.,0.,NA,NA,"",99.9995464E-06,-99.9995464E-06,-20.0000005E-33
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",7,0.,-10.,0.,NA,NA,"",0.,-2.00000001E-30,-20.0000005E-33
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",8,100.,-10.,0.,NA,NA,"",1.66678071,-4.99997754E-03,-1.66677320
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",9,200.,-10.,0.,NA,NA,"",9.99995507E-03,-9.99995507E-03,-20.0000005E-33
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",10,100.000001E-03,0.,0.,NA,NA,"",25.6322746E-06,-4.99997759E-06,-25.1398833E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",11,200.000003E-03,0.,0.,NA,NA,"",51.2596489E-06,-9.99995518E-06,-50.2747680E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",12,300.000012E-03,0.,0.,NA,NA,"",76.8772152E-06,-14.9999323E-06,-75.3996574E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",13,400.000006E-03,0.,0.,NA,NA,"",102.480066E-06,-19.9999104E-06,-100.509540E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",14,500.E-03,0.,0.,NA,NA,"",128.063301E-06,-24.9998866E-06,-125.599414E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",15,600.000024E-03,0.,0.,NA,NA,"",153.622022E-06,-29.9998646E-06,-150.664317E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",16,699.999988E-03,0.,0.,NA,NA,"",179.151320E-06,-34.9998409E-06,-175.699184E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",17,800.000012E-03,0.,0.,NA,NA,"",204.646291E-06,-39.9998207E-06,-200.699084E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",18,899.999976E-03,0.,0.,NA,NA,"",230.102029E-06,-44.9997933E-06,-225.658951E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",19,1.,0.,0.,NA,NA,"",255.513674E-06,-49.9997732E-06,-250.573852E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",20,1.10000002,0.,0.,NA,NA,"",280.876237E-06,-54.9997530E-06,-275.438739E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",21,1.20000005,0.,0.,NA,NA,"",306.184927E-06,-59.9997293E-06,-300.248648E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",22,1.29999995,0.,0.,NA,NA,"",331.434712E-06,-64.9997019E-06,-324.998487E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",23,1.39999998,0.,0.,NA,NA,"",356.620847E-06,-69.9996817E-06,-349.683396E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",24,1.5,0.,0.,NA,NA,"",381.738326E-06,-74.9996616E-06,-374.298281E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",25,1.60000002,0.,0.,NA,NA,"",406.782317E-06,-79.9996415E-06,-398.838194E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",26,1.70000005,0.,0.,NA,NA,"",431.747874E-06,-84.9996140E-06,-423.298101E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",27,1.79999995,0.,0.,NA,NA,"",456.630049E-06,-89.9995866E-06,-447.672966E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",28,1.89999998,0.,0.,NA,NA,"",481.424097E-06,-94.9995665E-06,-471.957872E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",29,2.,0.,0.,NA,NA,"",506.125041E-06,-99.9995464E-06,-496.147783E-06
